id,major,year_degree,total_amount,month_avg_amount,min_amount_month_num,min_same_month_total_amount,max_amount_month_num,max_same_month_total_amount,all_breakfast_count,all_lunch_count,all_dinner_count,other_periods_count,regular_rate,early_count,total_amount_std,min_amount_std_month_num,min_amount_std,max_amount_std_moth_num,max_amount_std,total_course_count,excellent_rate,resit_rate,total_score_std,max_score_std,min_score_std,max_session_std,min_session_std,avg_rank,max_rank,min_rank,total_borrow_count,avg_borrow_days,total_during_exam_count,total_long_term_count,total_count,avg_count,max_count,min_count,max_month,min_month,am_count,pm_count,count_std,during_exam_count,early_warning_level
2188107132,广告学（专升本）,2019,0.00,0.00,0,0.00,0,0.00,0,0,0,0,0.00,0,0.00,0,0.00,0,0.00,29,0.52,0.00,3.05,6.76,5.66,7.78,0.00,111.75,28,199,0,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0,0
3150105403,车辆工程,2019,0.00,0.00,0,0.00,0,0.00,0,0,0,0,0.00,0,0.00,0,0.00,0,0.00,100,0.17,0.29,15.92,9.43,23.36,33.25,6.10,83.60,1,255,0,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0,3
3151605230,材料成型及控制工程,2019,0.00,0.00,0,0.00,0,0.00,0,0,0,0,0.00,0,0.00,0,0.00,0,0.00,115,0.20,0.23,5.80,9.18,14.80,21.71,6.39,110.09,1,309,0,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0,3
3151605322,计算机科学与技术,2020,0.00,0.00,0,0.00,0,0.00,0,0,0,0,0.00,0,0.00,0,0.00,0,0.00,116,0.26,0.16,5.07,4.96,15.08,15.80,0.00,115.83,1,314,0,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0,3
3158121130,会计学（t),2020,0.00,0.00,0,0.00,0,0.00,0,0,0,0,0.00,0,0.00,0,0.00,0,0.00,40,0.63,0.00,2.28,8.23,7.52,13.01,2.16,29.50,19,35,0,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0,0
3158121131,计算机科学与技术,2021,473908.32,15.08,7,1.68,9,483.64,4860,5508,3240,17820,0.43,3564,85.48,2,0.00,11,55.63,73,0.88,0.00,2.61,3.60,7.45,9.69,0.50,32.38,3,80,1,20.00,1,0,0,0,0,0,0,0,0,0,0.00,0,0
3160813226,电气工程及其自动化,2019,82490.10,12.46,5,30.00,10,479.00,2464,2156,1848,154,0.98,2310,135.50,6,0.00,9,9.43,94,0.72,0.00,3.83,6.36,5.41,10.00,0.00,89.50,1,413,2,42.00,0,0,0,0,0,0,0,0,0,0,0.00,0,0
3161605311,材料成型及控制工程,2019,0.00,0.00,0,0.00,0,0.00,0,0,0,0,0.00,0,0.00,0,0.00,0,0.00,114,0.22,0.16,11.81,5.77,22.96,28.45,6.60,85.27,1,277,0,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0,3
3161712227,审计学,2021,0.00,0.00,0,0.00,0,0.00,0,0,0,0,0.00,0,0.00,0,0.00,0,0.00,22,0.27,0.05,1.15,3.00,13.50,15.14,12.02,1.00,1,1,0,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0,0
3161912117,数据科学与大数据技术,2020,0.00,0.00,0,0.00,0,0.00,0,0,0,0,0.00,0,0.00,0,0.00,0,0.00,93,0.41,0.08,19.21,22.66,19.25,16.20,0.00,110.91,1,236,0,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0,3
3162003220,视觉传达设计,2021,237222.27,17.23,1,42.24,5,1115.44,1296,2916,5994,3564,0.74,891,340.71,8,10.00,4,33.01,76,0.76,0.03,4.28,4.61,8.91,12.25,0.50,52.38,1,139,0,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0,0
3170105135,车辆工程,2019,0.00,0.00,0,0.00,0,0.00,0,0,0,0,0.00,0,0.00,0,0.00,0,0.00,120,0.17,0.18,11.32,7.57,21.21,20.63,0.00,127.09,1,345,2,57.00,0,0,0,0,0,0,0,0,0,0,0.00,0,3
3170105213,翻译,2019,0.00,0.00,0,0.00,0,0.00,0,0,0,0,0.00,0,0.00,0,0.00,0,0.00,119,0.40,0.15,8.41,5.00,20.21,28.99,6.30,88.08,1,235,7,27.71,4,0,0,0,0,0,0,0,0,0,0.00,0,3
3170107415,机械设计制造及其自动化,2019,198666.00,11.59,4,4.40,11,344.00,7695,3510,4590,1350,0.92,5130,71.33,4,0.00,6,29.60,84,0.32,0.01,7.10,6.44,11.08,10.89,0.00,212.56,1,463,25,26.04,3,1,0,0,0,0,0,0,0,0,0.00,0,0
3170601508,土木工程,2019,0.00,0.00,0,0.00,0,0.00,0,0,0,0,0.00,0,0.00,0,0.00,0,0.00,94,0.33,0.03,4.34,5.22,11.12,17.07,5.00,313.63,1,642,2,14.00,0,0,0,0,0,0,0,0,0,0,0.00,0,0
3170610206,道路桥梁与渡河工程,2019,0.00,0.00,0,0.00,0,0.00,0,0,0,0,0.00,0,0.00,0,0.00,0,0.00,106,0.48,0.12,15.77,19.62,17.91,17.38,0.00,62.50,1,159,0,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0,2
3170813222,风景园林,2019,434031.00,10.18,8,32.00,11,707.90,6240,16120,13130,7150,0.83,4290,222.02,7,1.87,11,20.00,102,0.27,0.03,6.00,7.57,25.11,29.97,0.00,99.83,1,197,0,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0,2
3170902221,广告学,2019,0.00,0.00,0,0.00,0,0.00,0,0,0,0,0.00,0,0.00,0,0.00,0,0.00,135,0.37,0.12,6.31,4.62,17.68,17.09,0.00,106.50,1,265,16,44.00,11,6,0,0,0,0,0,0,0,0,0.00,0,3
3170907219,建筑环境与能源应用工程,2019,0.00,0.00,0,0.00,0,0.00,0,0,0,0,0.00,0,0.00,0,0.00,0,0.00,114,0.22,0.20,14.17,15.91,17.83,29.98,0.00,110.36,1,292,0,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0,3
3170907329,工程造价,2019,0.00,0.00,0,0.00,0,0.00,0,0,0,0,0.00,0,0.00,0,0.00,0,0.00,103,0.28,0.09,6.46,5.22,20.08,23.19,8.71,202.63,1,402,0,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0,3
3170908323,给排水科学与工程,2019,0.00,0.00,0,0.00,0,0.00,0,0,0,0,0.00,0,0.00,0,0.00,0,0.00,92,0.45,0.07,3.35,7.32,10.29,14.62,2.00,129.13,1,302,2,27.50,1,0,0,0,0,0,0,0,0,0,0.00,0,2
3171005206,新闻学,2020,0.00,0.00,0,0.00,0,0.00,0,0,0,0,0.00,0,0.00,0,0.00,0,0.00,97,0.55,0.05,5.20,4.43,14.40,16.88,6.18,103.40,1,230,0,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0,0
3171202326,法学,2019,0.00,0.00,0,0.00,0,0.00,0,0,0,0,0.00,0,0.00,0,0.00,0,0.00,73,0.51,0.00,3.23,5.81,6.41,10.54,1.83,140.75,1,357,7,36.00,2,0,0,0,0,0,0,0,0,0,0.00,0,0
3171605324,材料成型及控制工程,2019,0.00,0.00,0,0.00,0,0.00,0,0,0,0,0.00,0,0.00,0,0.00,0,0.00,87,0.61,0.01,1.65,4.70,6.45,10.15,0.00,45.50,13,120,0,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0,0
3171605327,材料成型及控制工程,2019,0.00,0.00,0,0.00,0,0.00,0,0,0,0,0.00,0,0.00,0,0.00,0,0.00,91,0.38,0.05,5.92,4.52,13.89,14.40,0.00,92.67,1,232,0,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0,2
3171605424,材料成型及控制工程,2019,0.00,0.00,0,0.00,0,0.00,0,0,0,0,0.00,0,0.00,0,0.00,0,0.00,93,0.39,0.09,4.56,6.22,11.72,16.66,3.50,84.50,1,204,0,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0,2
